id,amount,stripe_status,processing_decision,timestamp,recipient_account,reference,merchant_name,device_id,type,customer_id,confidence,latency,old_balance_org,new_balance_org,is_fraud
pi_e86442837e7c48069415ba,30.64,succeeded,edge,2025-08-04 12:08:14,451144771997,INV-2588,card,edge-16,Transfer,admin.putrajaya@bankedge.com,0.994,14.71,114423.1,114392.46,0
pi_8e9197bb6735468388754f,26.08,succeeded,cloud,2025-11-03 12:46:54,949331323761,INV-4139,card,,Transfer,admin.labuan@bankedge.com,0.965,16.82,129412.86,129386.78,0
pi_fe7d9d4064ca475b9dc4c2,26.31,succeeded,edge,2025-11-22 08:35:00,714181846360,Ref-54fda4a2,card,edge-6,Transfer,admin.pahang@bankedge.com,0.992,25.98,88904.58,88878.27,0
pi_ad97aa4f885943de90a13f,45.53,succeeded,edge,2025-07-28 04:52:03,863361016774,INV-7930,fpx_cimb,edge-14,Transfer,admin.kl@bankedge.com,0.94,11.99,12197.76,12152.23,0
pi_ce4a0d6157a24e58bd62af,91.27,failed,edge,2025-06-14 22:33:53,52785130539,INV-9238,fpx_ambank,edge-16,Transfer,admin.putrajaya@bankedge.com,0.484,16.72,116046.47,115955.2,0
pi_20ef4acdf800461ba3734e,69.86,succeeded,cloud,2025-08-12 04:41:32,627594012825,INV-1651,card,,Transfer,superadmin@bankedge.com,0.919,136.67,119209.5,119139.64,0
pi_cc13429dc9ca4e07a14fbe,43.31,succeeded,cloud,2025-07-17 11:16:37,736001525541,Ref-5505b396,grabpay,,Transfer,superadmin@bankedge.com,0.926,66.27,134110.33,134067.02,0
pi_1130b7a5db9f48daaa22c0,115.56,succeeded,edge,2025-07-26 20:29:08,311824752082,INV-9900,card,edge-4,Transfer,admin.malacca@bankedge.com,0.927,26.55,186685.25,186569.69,0
pi_be0a51327ad84ec6b8ecf8,20.03,succeeded,edge,2025-10-16 18:08:24,120785403991,,fpx_ambank,edge-1,Transfer,admin.johor@bankedge.com,0.993,26.47,21165.51,21145.48,0
pi_439cde822213458a8081e7,43.46,succeeded,edge,2025-08-08 18:03:21,1189351213,INV-3143,fpx_cimb,edge-9,Transfer,admin.perlis@bankedge.com,0.991,19.39,10634.38,10590.92,0
pi_602b7202eb2c443b8cea02,56.75,failed,edge,2025-11-11 17:03:08,41997998139,Ref-2cba6f00,card,edge-15,Transfer,admin.labuan@bankedge.com,0.005,26.61,15511.15,15454.4,0
pi_89f9034dd6d8463f82fc7a,75.07,succeeded,cloud,2025-09-22 13:21:48,387988551875,Ref-e5bb89ca,card,,Transfer,admin.selangor@bankedge.com,0.986,45.96,179835.46,179760.39,0
pi_9a7031e25c5344af8b462c,186.55,failed,cloud,2025-07-06 00:51:13,455969389865,Ref-8b157470,fpx_cimb,,Transfer,admin.pahang@bankedge.com,0.441,148.63,5444.88,5258.33,0
pi_d9636019547349e98da962,28.73,succeeded,edge,2025-08-04 07:14:30,876402538007,Ref-62130d32,card,edge-4,Transfer,admin.malacca@bankedge.com,0.947,27.64,40314.78,40286.05,0
pi_46e4441331064ba2b45523,88.64,succeeded,cloud,2025-11-05 19:01:59,35098763897,INV-5279,card,,Transfer,admin.kelantan@bankedge.com,0.964,196.32,80235.84,80147.2,0
pi_65e7c0cb8c384cc6b47c93,109.7,succeeded,edge,2025-07-25 20:02:26,636223535913,INV-1727,fpx_maybank,edge-4,Transfer,admin.malacca@bankedge.com,0.979,29.54,87560.58,87450.88,0
pi_80dc3e9a355f403a99f070,7.71,succeeded,edge,2025-08-02 23:16:23,991933799072,INV-6067,card,edge-7,Transfer,admin.penang@bankedge.com,0.966,10.1,66374.91,66367.2,0
pi_ef391d81152a44ed807f67,114.24,succeeded,edge,2025-10-12 11:03:34,334156770265,INV-1006,card,edge-10,Transfer,admin.sabah@bankedge.com,0.966,22.7,76139.48,76025.24,0
pi_eb48403378014ca588efb9,24.44,succeeded,edge,2025-08-03 13:26:10,723283324709,INV-9445,card,edge-11,Transfer,admin.sarawak@bankedge.com,0.921,27.13,94900.64,94876.2,0
pi_4a1e0b1143bc43ffa033b2,10.07,succeeded,edge,2025-06-21 09:31:19,846463185629,INV-7790,card,edge-8,Transfer,admin.perak@bankedge.com,0.92,8.1,5372.86,5362.79,0
pi_d9bfaa5224b04d77bdeae3,358.84,succeeded,edge,2025-07-07 07:47:45,856156280853,INV-3881,card,edge-13,Transfer,admin.terengganu@bankedge.com,0.966,22.78,1606.19,1247.35,0
pi_d9a432531b034fe6830380,406.48,failed,edge,2025-08-13 12:03:09,656235594840,INV-8251,card,edge-2,Transfer,admin.kedah@bankedge.com,0.061,14.47,27101.15,26694.67,0
pi_5a9f836332f945598ef757,200.28,succeeded,cloud,2025-10-18 03:30:09,858987636625,INV-4919,fpx_rhb,,Transfer,admin.labuan@bankedge.com,0.947,53.21,52208.71,52008.43,0
pi_9d965baa76b64795a90930,45.59,succeeded,edge,2025-08-27 02:28:05,70638397356,INV-6421,fpx_cimb,edge-9,Transfer,admin.perlis@bankedge.com,0.908,12.11,30590.72,30545.13,0
pi_99496738c9264cf4b14d3e,14.33,succeeded,edge,2025-09-25 17:44:59,7343579654,Ref-2f6becbc,card,edge-14,Transfer,admin.kl@bankedge.com,0.995,26.54,4396.63,4382.3,0
pi_f05d2ab9e48a41e4b9c6f3,140.33,succeeded,edge,2025-08-11 15:17:30,184498961791,Ref-a45ebd61,fpx_rhb,edge-8,Transfer,admin.perak@bankedge.com,0.949,20.4,78077.01,77936.68,0
pi_32868624abea4dc98c6abf,71.61,succeeded,edge,2025-10-17 10:26:58,359435204313,INV-7211,fpx_ambank,edge-1,Transfer,admin.johor@bankedge.com,0.987,8.54,36754.94,36683.33,0
pi_4924c9113a764695aed587,17.62,succeeded,edge,2025-10-23 10:47:44,718076081491,INV-1508,fpx_publicbank,edge-3,Transfer,admin.kelantan@bankedge.com,0.905,7.5,190407.98,190390.36,0
pi_ba4ff48df67b42e982269a,84.03,succeeded,edge,2025-07-23 23:25:55,182973019143,Ref-b6edc927,card,edge-5,Transfer,admin.negerisembilan@bankedge.com,0.911,14.49,189577.53,189493.5,0
pi_b98aabe03cba42ad901a4e,6.2,succeeded,edge,2025-11-20 16:19:29,83456198537,INV-4978,fpx_publicbank,edge-4,Transfer,admin.malacca@bankedge.com,0.958,11.88,181651.22,181645.02,0
pi_4cfd93b87d90470db831e7,290.05,succeeded,edge,2025-07-03 18:52:46,377443331852,INV-7882,card,edge-4,Transfer,admin.malacca@bankedge.com,0.904,20.18,106782.68,106492.63,0
pi_ced99d9fb8184b79ba8dc5,37.93,succeeded,edge,2025-09-07 13:57:27,676469860518,Ref-d3ca6c42,card,edge-12,Transfer,admin.selangor@bankedge.com,0.971,22.28,87379.69,87341.76,0
pi_4a3998e056f64416a289f3,132.35,succeeded,edge,2025-09-05 11:35:03,673462383766,Ref-133f53b7,fpx_ambank,edge-9,Transfer,admin.perlis@bankedge.com,0.993,14.07,56146.19,56013.84,0
pi_56ffb99cd27243d6b4fd1a,46.83,succeeded,edge,2025-09-06 14:16:53,92014894322,INV-7658,card,edge-7,Transfer,admin.penang@bankedge.com,0.928,26.52,119432.92,119386.09,0
pi_1fc2ab06ea904e49aec435,90.09,succeeded,edge,2025-08-24 23:50:54,728164617915,INV-8753,card,edge-16,Transfer,admin.putrajaya@bankedge.com,0.979,7.43,19064.14,18974.05,0
pi_68db4003cbce4c0b861a9e,96.95,succeeded,edge,2025-11-03 06:34:25,592601169418,Ref-25a4d083,card,edge-11,Transfer,admin.sarawak@bankedge.com,0.931,21.92,46492.34,46395.39,0
pi_7b7c1553e36b4c6994c02c,26.53,succeeded,cloud,2025-12-01 15:06:03,15183131325,,card,,Transfer,superadmin@bankedge.com,0.998,62.77,166609.36,166582.83,0
pi_89e0dfd5ad834ec6bd923d,421.14,failed,edge,2025-06-26 03:17:57,204326783773,Ref-4e4b8fdc,card,edge-5,Transfer,admin.negerisembilan@bankedge.com,0.051,9.25,2946.95,2525.81,0
pi_15f6c399824644d7972335,181.07,succeeded,edge,2025-08-14 17:34:27,275851785492,INV-7818,fpx_rhb,edge-16,Transfer,admin.putrajaya@bankedge.com,0.905,17.32,30264.92,30083.85,0
pi_e8e4b885cf7f4172b8fb3b,338.61,succeeded,cloud,2025-07-15 08:36:24,682047077731,INV-2625,grabpay,,Transfer,superadmin@bankedge.com,0.991,119.76,59821.95,59483.34,0
pi_714df30feac141ffba18ea,272.26,succeeded,edge,2025-07-26 23:03:35,36610687504,INV-5632,card,edge-3,Transfer,admin.kelantan@bankedge.com,0.908,14.06,1033.81,761.55,0
pi_e8a82ab2dab74d698de177,111.33,succeeded,cloud,2025-07-02 22:50:20,248152013493,Ref-c7a54658,card,,Transfer,admin.perak@bankedge.com,0.963,187.07,132406.02,132294.69,0
pi_bf678d17e82344a7b6b95a,307.93,succeeded,edge,2025-11-24 20:19:59,551925102373,INV-8172,card,edge-10,Transfer,admin.sabah@bankedge.com,0.992,14.59,88111.11,87803.18,0
pi_a38d56c7a8e947bb80b950,13.12,succeeded,edge,2025-07-15 06:52:25,743018995729,Ref-c188cc47,fpx_publicbank,edge-9,Transfer,admin.perlis@bankedge.com,0.967,18.03,172173.12,172160.0,0
pi_558840fb257e4e3e8a0456,28.18,succeeded,cloud,2025-06-26 21:53:36,449171080147,INV-2713,card,,Transfer,admin.labuan@bankedge.com,0.959,100.89,127139.55,127111.37,0
pi_71330d043ca547759643e3,7.55,succeeded,edge,2025-09-01 13:01:37,126942501921,Ref-e86702e5,card,edge-16,Transfer,admin.putrajaya@bankedge.com,0.981,14.19,110244.27,110236.72,0
pi_6ec762543224473884742a,49.22,succeeded,edge,2025-09-16 09:27:01,293932052116,INV-5719,card,edge-15,Transfer,admin.labuan@bankedge.com,0.936,19.14,151410.41,151361.19,0
pi_04c4c545ea264abb991a4f,61.06,succeeded,cloud,2025-09-11 20:42:59,246213466367,Ref-288873ad,card,,Transfer,admin.johor@bankedge.com,0.924,112.41,32096.44,32035.38,0
pi_3568ae8e5fa44d28b4f86d,39.99,succeeded,edge,2025-11-03 10:54:38,500263022595,INV-7284,grabpay,edge-5,Transfer,admin.negerisembilan@bankedge.com,0.951,25.21,55048.27,55008.28,0
pi_154147d420a746dcb53922,213.75,succeeded,cloud,2025-06-30 20:17:55,4524233168,INV-5891,card,,Transfer,admin.negerisembilan@bankedge.com,0.979,187.18,83281.01,83067.26,0
pi_d27e3d33b88a4b7cb87fff,54.95,succeeded,edge,2025-09-27 02:26:45,210893341015,Ref-b8349f80,fpx_rhb,edge-5,Transfer,admin.negerisembilan@bankedge.com,0.933,11.94,152693.1,152638.15,0
pi_73d67a17dd714a37b8357d,41.58,succeeded,edge,2025-11-15 22:52:09,168421339099,INV-1606,fpx_maybank,edge-11,Transfer,admin.sarawak@bankedge.com,0.981,20.25,77522.71,77481.13,0
pi_bcf47b68bf3744ab9a4248,95.89,succeeded,cloud,2025-10-05 17:24:35,83267355023,INV-5342,card,,Transfer,admin.malacca@bankedge.com,0.953,145.88,91657.15,91561.26,0
pi_d8acb19e26e849d5a3a231,20.23,succeeded,cloud,2025-11-27 04:21:20,536837550654,,card,,Transfer,admin.kelantan@bankedge.com,0.986,66.75,76311.87,76291.64,0
pi_85998acd0b364f5988de83,196.46,succeeded,cloud,2025-12-01 12:53:09,183294211298,Ref-92c4a2f2,grabpay,,Transfer,admin.sabah@bankedge.com,0.943,128.58,20139.4,19942.94,0
pi_55f30837535b40c683ad39,11.3,succeeded,edge,2025-10-24 16:52:16,671354064649,Ref-0aa23b3e,card,edge-12,Transfer,admin.selangor@bankedge.com,0.953,23.98,113402.65,113391.35,0
pi_0877edb8da924a019f65e8,522.1,succeeded,edge,2025-10-04 08:46:00,600910770735,INV-8237,card,edge-8,Transfer,admin.perak@bankedge.com,0.926,24.33,2374.79,1852.69,0
pi_282781b9602e46c3a9c5fc,179.54,failed,edge,2025-07-27 16:20:33,629703172393,INV-5847,card,edge-14,Transfer,admin.kl@bankedge.com,0.151,25.75,199875.03,199695.49,0
pi_ed8189b8e83240ca9a9bd5,28.58,succeeded,edge,2025-10-26 18:47:24,996714461213,Ref-1d64cca9,fpx_rhb,edge-9,Transfer,admin.perlis@bankedge.com,0.978,27.41,194733.76,194705.18,0
pi_d4ba6479a4ef4dd29fb3db,2.66,succeeded,edge,2025-09-15 20:50:04,692074856708,Ref-5efe1d7c,card,edge-7,Transfer,admin.penang@bankedge.com,0.972,25.31,132006.72,132004.06,0
pi_dd12995cfb4f4f979b3d2a,204.79,succeeded,edge,2025-07-02 04:56:11,404604474507,INV-5465,card,edge-5,Transfer,admin.negerisembilan@bankedge.com,0.975,4.83,35540.19,35335.4,0
pi_73a7d1d143f74aed957457,149.25,succeeded,edge,2025-06-29 05:45:52,747723617943,Ref-98518e6f,fpx_rhb,edge-10,Transfer,admin.sabah@bankedge.com,0.912,5.08,192597.21,192447.96,0
pi_3b4398accf0641c0813aaf,158.68,succeeded,edge,2025-10-26 01:31:49,704611924651,,card,edge-13,Transfer,admin.terengganu@bankedge.com,0.945,20.5,134729.26,134570.58,0
pi_6875947c129947fa892019,179.03,succeeded,cloud,2025-10-12 08:46:39,127307668955,INV-1609,grabpay,,Transfer,admin.sarawak@bankedge.com,0.906,182.33,164859.14,164680.11,0
pi_d0ec1c5d3ea6402881223c,11.23,failed,cloud,2025-09-20 21:43:02,647045230097,,card,,Transfer,admin.perak@bankedge.com,0.227,149.91,134262.0,134250.77,0
pi_1e2ce5d8d2ba4e7d8314e1,55.27,succeeded,cloud,2025-06-18 09:00:37,109931907098,Ref-588115bc,fpx_ambank,,Transfer,admin.kl@bankedge.com,0.969,91.72,43845.3,43790.03,0
pi_3f8394712425454087698b,16.78,failed,edge,2025-10-06 16:57:14,656581630158,,card,edge-13,Transfer,admin.terengganu@bankedge.com,0.475,3.66,164926.12,164909.34,0
pi_ff0e78e340af4276b7e215,240.62,succeeded,edge,2025-06-26 18:45:25,864922166853,,card,edge-7,Transfer,admin.penang@bankedge.com,0.921,26.22,43582.29,43341.67,0
pi_acfcc9f69ba348c2980f54,119.16,failed,edge,2025-11-30 07:01:20,355716422315,INV-5347,fpx_ambank,edge-9,Transfer,admin.perlis@bankedge.com,0.433,11.39,26794.74,26675.58,0
pi_b1a4e731cf3b451a8761fd,50.22,succeeded,edge,2025-10-12 21:31:12,679370394729,INV-9543,card,edge-4,Transfer,admin.malacca@bankedge.com,0.978,4.16,102890.97,102840.75,0
pi_0549421686ea4a84b8afed,9.88,succeeded,edge,2025-10-18 01:33:07,668103390612,INV-3067,fpx_maybank,edge-16,Transfer,admin.putrajaya@bankedge.com,0.911,13.86,142624.06,142614.18,0
pi_4ba4d97880c542c689c964,46.7,succeeded,edge,2025-08-25 09:48:39,937794275201,Ref-83e7e7e2,card,edge-11,Transfer,admin.sarawak@bankedge.com,0.929,13.48,101357.44,101310.74,0
pi_49a9016acece4691813dbd,49.2,succeeded,cloud,2025-07-30 02:24:05,732486718843,INV-3500,card,,Transfer,admin.labuan@bankedge.com,0.983,147.27,80046.67,79997.47,0
pi_fa9a39bea6a34b5a98b679,158.95,succeeded,edge,2025-09-21 16:42:44,617592318610,INV-3002,card,edge-3,Transfer,admin.kelantan@bankedge.com,0.974,17.13,162447.97,162289.02,0
pi_95309ba253d7468288192d,123.79,succeeded,cloud,2025-11-19 10:53:06,169417430757,Ref-0df6b7af,grabpay,,Transfer,admin.kl@bankedge.com,0.997,73.57,120281.81,120158.02,0
pi_47462949458f425492f2eb,263.87,succeeded,edge,2025-08-04 17:30:13,742369652067,,card,edge-4,Transfer,admin.malacca@bankedge.com,0.981,29.26,169108.45,168844.58,0
pi_37238e1c6cce42bc97a81f,78.69,succeeded,edge,2025-11-22 15:35:51,441909937895,INV-1502,card,edge-6,Transfer,admin.pahang@bankedge.com,0.992,6.26,70529.17,70450.48,0
pi_333bc63abb724f0f8b66fb,17.28,succeeded,edge,2025-08-01 14:17:51,60628500646,INV-1815,card,edge-14,Transfer,admin.kl@bankedge.com,0.931,28.3,65214.39,65197.11,0
pi_2c17e8e4318c40bc91b362,151.9,succeeded,edge,2025-08-02 22:09:22,745245876540,Ref-b08aa8ce,card,edge-14,Transfer,admin.kl@bankedge.com,0.927,4.3,151111.16,150959.26,0
pi_804a099bea2b439ba780ff,173.65,succeeded,edge,2025-09-27 15:19:27,546494046286,,card,edge-2,Transfer,admin.kedah@bankedge.com,0.921,8.41,27878.34,27704.69,0
pi_a0bf08d6cd244275976481,100.87,succeeded,edge,2025-10-15 05:58:50,471624302032,INV-7843,card,edge-12,Transfer,admin.selangor@bankedge.com,0.904,27.71,4238.94,4138.07,0
pi_35e11408798f48c583d6f4,178.87,succeeded,edge,2025-08-30 17:22:37,267742651064,INV-7560,card,edge-11,Transfer,admin.sarawak@bankedge.com,0.946,11.49,138077.2,137898.33,0
pi_7c2067cba3e8457b9387b7,83.7,succeeded,edge,2025-07-05 04:52:18,384752644697,Ref-f37cb173,fpx_publicbank,edge-8,Transfer,admin.perak@bankedge.com,0.951,15.79,23248.31,23164.61,0
pi_10aae54933c944769fa266,90.76,succeeded,edge,2025-09-14 07:10:09,509928357401,Ref-7386e40a,card,edge-9,Transfer,admin.perlis@bankedge.com,0.976,6.14,131274.05,131183.29,0
pi_d397513c2bd6402296d16f,68.94,succeeded,cloud,2025-11-26 01:27:57,650719776103,INV-9312,fpx_ambank,,Transfer,admin.sarawak@bankedge.com,0.915,91.23,14123.11,14054.17,0
pi_0ebaa59138404dc387d114,5.09,succeeded,edge,2025-09-14 03:18:30,509457480605,INV-1672,card,edge-2,Transfer,admin.kedah@bankedge.com,0.964,3.62,195485.02,195479.93,0
pi_6e649c1cabc74851a12237,15.7,succeeded,edge,2025-12-02 20:48:14,94262275159,INV-3827,card,edge-7,Transfer,admin.penang@bankedge.com,0.915,4.0,12843.8,12828.1,0
pi_495c6015488a424ab58645,5.83,succeeded,edge,2025-11-27 16:02:52,661045839791,INV-6482,card,edge-15,Transfer,admin.labuan@bankedge.com,0.936,12.24,183628.39,183622.56,0
pi_3beb60efe9b34b49a8fa95,123.41,succeeded,edge,2025-10-11 05:26:05,729352320187,INV-6731,card,edge-13,Transfer,admin.terengganu@bankedge.com,0.966,26.33,181315.37,181191.96,0
pi_136853bddefd45fcb682d5,47.29,failed,edge,2025-07-30 08:57:23,735988277637,Ref-88c8b769,grabpay,edge-13,Transfer,admin.terengganu@bankedge.com,0.042,19.66,112004.95,111957.66,0
pi_d4afc003b08347509d1fbd,87.25,succeeded,flagged,2025-10-14 00:43:42,246637792072,,card,edge-14,Transfer,admin.kl@bankedge.com,0.931,10.91,190258.28,190171.03,0
pi_f609ecc1af7842018ff7ff,287.75,succeeded,cloud,2025-07-06 08:48:08,199265342080,Ref-bf0fa7d7,card,,Transfer,superadmin@bankedge.com,0.934,30.55,153378.37,153090.62,0
pi_196585f0220047c18920d7,36.41,succeeded,edge,2025-06-17 22:23:37,586120587252,INV-8684,fpx_maybank,edge-14,Transfer,admin.kl@bankedge.com,0.997,22.82,122313.79,122277.38,0
pi_4f6041170e9241e6b2a52b,65.39,succeeded,edge,2025-11-30 08:02:38,665866345752,INV-5096,card,edge-15,Transfer,admin.labuan@bankedge.com,0.938,29.02,105728.23,105662.84,0
pi_bce84e8d7767497bb1b4f6,171.05,succeeded,edge,2025-06-16 15:57:31,162118623175,,fpx_ambank,edge-4,Transfer,admin.malacca@bankedge.com,0.912,5.65,17233.09,17062.04,0
pi_a4f83b6ea1c346368012c8,33.18,succeeded,cloud,2025-06-30 12:22:28,32029157713,INV-2623,card,,Transfer,admin.selangor@bankedge.com,0.94,80.3,75105.32,75072.14,0
pi_473e83f480724e63bfeabc,11.61,succeeded,edge,2025-12-06 18:39:17,677236594141,INV-2298,card,edge-5,Transfer,admin.negerisembilan@bankedge.com,0.983,5.02,139366.36,139354.75,0
pi_2c1810f4890b44608a68e8,43.06,succeeded,cloud,2025-06-30 23:58:19,875622637873,,fpx_ambank,,Transfer,superadmin@bankedge.com,0.978,28.76,47909.23,47866.17,0
pi_433ddd06be0343da9cda24,23.1,succeeded,edge,2025-08-30 19:36:16,458717515381,INV-2402,card,edge-1,Transfer,admin.johor@bankedge.com,0.972,1.05,58608.76,58585.66,0
pi_ead7880ffd744fc4831e89,320.59,failed,cloud,2025-10-22 05:07:24,696971680889,INV-7116,card,,Transfer,superadmin@bankedge.com,0.393,8.97,101770.71,101450.12,0
pi_e3191f97da9446798b5219,200.11,succeeded,edge,2025-07-02 05:21:04,387737476962,INV-3868,card,edge-3,Transfer,admin.kelantan@bankedge.com,0.963,22.32,154414.52,154214.41,0
pi_32e02c98653444fc85f225,122.42,succeeded,edge,2025-10-10 04:26:10,868771540310,INV-1686,card,edge-16,Transfer,admin.putrajaya@bankedge.com,0.906,14.27,155349.98,155227.56,0
pi_be3d3aa9b37c49cf8738e2,248.18,succeeded,edge,2025-09-16 14:52:42,298778349097,INV-7029,card,edge-16,Transfer,admin.putrajaya@bankedge.com,0.919,23.64,71716.35,71468.17,0
pi_fe927db55f584cd49f4203,197.36,succeeded,cloud,2025-08-26 13:07:28,467979258469,INV-3956,fpx_rhb,,Transfer,admin.sarawak@bankedge.com,0.95,106.26,184899.94,184702.58,0
pi_33ab3b2516fe496ca4b875,26.78,succeeded,edge,2025-09-17 00:14:59,800045831074,Ref-7b51e44b,card,edge-11,Transfer,admin.sarawak@bankedge.com,0.96,21.0,85510.16,85483.38,0
pi_0e197fe91889461291566e,269.7,succeeded,edge,2025-11-15 22:56:41,670364937804,Ref-8cb14601,fpx_maybank,edge-3,Transfer,admin.kelantan@bankedge.com,0.951,5.64,150104.65,149834.95,0
pi_3e5974c0c99b452bba23c4,95.01,succeeded,edge,2025-09-30 05:06:31,85881801482,INV-9674,fpx_publicbank,edge-12,Transfer,admin.selangor@bankedge.com,0.961,28.52,135972.88,135877.87,0
pi_95247ea606544f26bc6c5f,199.68,succeeded,cloud,2025-08-13 15:39:54,287796288645,Ref-ee173761,grabpay,,Transfer,admin.perak@bankedge.com,0.919,183.14,103790.18,103590.5,0
pi_7b2f7f467eea47d3b192f5,273.71,succeeded,edge,2025-08-25 16:02:49,732517059337,INV-2063,fpx_rhb,edge-7,Transfer,admin.penang@bankedge.com,0.945,13.91,179786.47,179512.76,0
pi_0b4e20fb6fc3451e9c7cab,47.93,succeeded,edge,2025-09-10 16:57:01,396249880275,INV-7044,fpx_cimb,edge-6,Transfer,admin.pahang@bankedge.com,0.912,5.03,40595.58,40547.65,0
pi_cfda00a702e44d2c9d3ca1,15.99,succeeded,edge,2025-08-07 17:42:16,80778590209,INV-6194,card,edge-3,Transfer,admin.kelantan@bankedge.com,0.972,12.91,95993.69,95977.7,0
pi_38ff918cf0634e3cb02a4f,33.04,succeeded,cloud,2025-07-02 00:39:26,146883995708,INV-1907,card,,Transfer,superadmin@bankedge.com,0.988,129.76,156162.45,156129.41,0
pi_405177eebb0e469e9051ce,68.85,succeeded,edge,2025-11-16 03:53:00,276216607657,INV-5496,card,edge-6,Transfer,admin.pahang@bankedge.com,0.923,16.05,189522.89,189454.04,0
pi_8aac262739d24fa6b18f71,206.46,succeeded,edge,2025-07-03 05:20:22,372966239279,Ref-2655dc0f,grabpay,edge-3,Transfer,admin.kelantan@bankedge.com,0.994,20.1,31261.76,31055.3,0
pi_91272963ce3048f997f771,238.56,succeeded,edge,2025-07-07 05:06:03,706618766834,Ref-c6121a8c,card,edge-9,Transfer,admin.perlis@bankedge.com,0.942,15.44,127978.74,127740.18,0
pi_2f6394b5f3ae46298ab082,2.84,succeeded,edge,2025-06-26 07:42:22,947235336719,Ref-e50d5951,card,edge-15,Transfer,admin.labuan@bankedge.com,0.944,6.92,97108.1,97105.26,0
pi_27421279d9114edea93f9a,87.79,succeeded,edge,2025-09-20 06:34:13,319044927983,Ref-f1099609,card,edge-12,Transfer,admin.selangor@bankedge.com,0.924,14.04,24943.12,24855.33,0
pi_f09356ac47684ed591e408,66.83,succeeded,cloud,2025-09-25 02:34:40,339783050311,INV-2475,fpx_cimb,,Transfer,admin.sarawak@bankedge.com,0.919,199.21,32288.81,32221.98,0
pi_7199819a23ab4751ab9abb,32.14,succeeded,edge,2025-06-22 02:40:39,928748057614,INV-3194,fpx_cimb,edge-12,Transfer,admin.selangor@bankedge.com,0.96,20.5,168648.5,168616.36,0
pi_d0e72574aca3443380df70,17.32,succeeded,edge,2025-08-11 10:42:11,497087000060,Ref-825d382e,card,edge-13,Transfer,admin.terengganu@bankedge.com,0.957,17.04,39333.73,39316.41,0
pi_7e0cc1e869e842c583bd1c,51.43,succeeded,edge,2025-12-02 21:52:01,441273328737,INV-1742,card,edge-4,Transfer,admin.malacca@bankedge.com,0.934,22.89,187820.24,187768.81,0
pi_e5ec641bed4c4342969e88,345.57,succeeded,edge,2025-09-02 22:57:36,815396668382,Ref-15c7398f,card,edge-16,Transfer,admin.putrajaya@bankedge.com,0.989,28.01,28386.31,28040.74,0
